Label,V2_CVSS,VULNERABILITY,STRUCT,CWE,IMPACT,VENDER,DRIVER,SOURCECODE,SOFTWARE,FUNCTION,Id
CVE-2017-1000503,6.8,execcode,race condition,CWE-362,6.4,jenkins,,,,,0
CVE-2017-11418,7.5,sql,,CWE-89,6.4,,dapur/apps/app_article/controller/,article_list.php,fiyo cms,,1
CVE-2017-10887,9.3,priv,untrusted search path,CWE-426,10.0,,,,book walker,,2
CVE-2017-9434,5.0,unknown,,CWE-125,2.9,,,zinflate.c,crypto,,3
CVE-2017-17575,7.5,sql,,CWE-89,6.4,,,item_details.php,fs groupon clone,,4
CVE-2017-1369,3.5,xss,,CWE-79,2.9,ibm,,,relm,,5
CVE-2017-0709,4.3,info,,CWE-200,2.9,htc,,,android,,6
CVE-2017-15020,6.8,dos,libbfd,CWE-119,6.4,gnu,,dwarf1.c,binutils,,7
CVE-2017-3585,5.0,unknown,,CWE-284,2.9,sun,,,zfs storage appliance kit,,8
CVE-2017-18242,4.3,dos,crafted aac file,CWE-125,2.9,,libavcodec/,aacdec.c,libav,apply_dependent_coupling,9
CVE-2017-1459,4.9,unknown,,CWE-284,4.9,ibm,,,security access manager appliance,,10
CVE-2017-15568,4.3,xss,,CWE-79,2.9,,app/helpers/,,application_helper.rb ,,11
CVE-2017-2098,4.0,dir.trav.,,CWE-22,2.9,,,,cubecart,,12
CVE-2017-7030,6.8,dos execcode overflow,webkit,CWE-119,6.4,apple,,,ios,,13
CVE-2017-13210,7.2,execcode,,CWE-787,10.0,,,cameradeviceclient.cpp,android,submitrequestlist,14
CVE-2017-16667,9.3,execcode,,CWE-78,10.0,,qt4/plugins/,notifyplugin.py,backintime,,15
CVE-2017-2252,9.3,priv,untrusted search path ,CWE-426,10.0,,,,file compact,,16
CVE-2017-15276,6.5,priv dir.trav.,symlinks,CWE-22,6.4,emc,,,opentext documentum content server,,17
CVE-2017-7878,7.5,sql,,CWE-89,6.4,flatcore,,,flatcore,,18
CVE-2017-14116,9.3,unknown,,CWE-798,10.0,at&t,,,arris nvg599 device,,19
CVE-2017-15892,3.5,xss,slash command creator,CWE-79,2.9,,,,synology chat,,20
CVE-2017-0291,9.3,execcode,,CWE-284,10.0,,,,windows 8.1,,21
CVE-2017-3870,5.0,overflow bypass,,CWE-119,2.9,cisco,,,asyncos software,,22
CVE-2017-1000485,2.1,info,,CWE-275,2.9,,,,nylas mail lives,,23
CVE-2017-11546,4.3,dos,,CWE-369,2.9,,,readmidi.c,timidity,insert_note_steps,24
CVE-2017-5850,7.8,dos,http range header,CWE-399,6.9,openbsd,,,httpd,,25
