,Label,x,y,Cluster
0,CVE-2017-1000503,-8.399538,5.752116,1
1,CVE-2017-11418,9.064771,13.834544,0
2,CVE-2017-9434,25.982897,-15.794673,2
3,CVE-2017-17575,8.9254675,13.615424,0
4,CVE-2017-15020,-14.122267,0.20628835,1
5,CVE-2017-3585,25.918167,-16.609268,2
6,CVE-2017-7030,-14.698891,2.747002,1
7,CVE-2017-13210,-2.3398488,6.4805098,5
8,CVE-2017-16667,10.461193,13.293079,0
9,CVE-2017-15276,-5.151707,5.6702995,5
10,CVE-2017-7878,9.1272955,13.713122,0
11,CVE-2017-0291,6.828389,15.311394,0
12,CVE-2017-3870,22.348158,-12.825573,2
13,CVE-2017-2459,-14.698891,2.7470024,1
14,CVE-2017-1000357,18.37646,-10.996059,2
15,CVE-2017-6689,-16.220497,-1.0268034,1
16,CVE-2017-2576,26.320452,-16.114315,2
17,CVE-2017-11096,-15.846204,-0.92138076,1
18,CVE-2017-8929,18.700865,-11.146719,2
19,CVE-2017-9822,-10.082556,4.717216,1
20,CVE-2017-14438,17.741549,-11.828946,2
21,CVE-2017-9729,25.395937,-16.214636,2
22,CVE-2017-9348,22.26906,-12.704931,2
23,CVE-2017-7885,5.363732,5.345027,5
24,CVE-2017-16615,3.7636867,19.048674,0
25,CVE-2017-13674,-3.59072,6.6991777,5
26,CVE-2017-6565,-16.569807,-0.8997468,1
27,CVE-2017-15833,14.91564,-6.518933,2
28,CVE-2017-8979,-8.398753,5.1257186,1
29,CVE-2017-11763,-13.508707,2.922626,1
30,CVE-2017-15268,25.442696,-16.252274,2
31,CVE-2017-5528,-4.8385835,6.390979,5
32,CVE-2017-13856,-14.698891,2.7470026,1
33,CVE-2017-6714,9.623504,14.042948,0
34,CVE-2017-2802,-15.947185,-0.4447807,1
35,CVE-2017-0154,-10.487939,-3.225232,1
36,CVE-2017-12501,8.205351,13.983292,0
37,CVE-2017-8785,-12.8658495,3.558048,1
38,CVE-2017-14525,-9.945824,-3.2782528,1
39,CVE-2017-17110,8.956349,13.8742695,0
40,CVE-2017-1258,-10.273636,-3.4351747,1
41,CVE-2017-0579,3.5130308,19.057676,0
42,CVE-2017-18053,25.826908,-16.56676,2
43,CVE-2017-14836,-9.363898,5.370221,1
44,CVE-2017-1000374,7.143921,14.688231,0
45,CVE-2017-10258,-11.338284,-3.2010229,1
46,CVE-2017-15262,-13.743877,3.0170174,1
47,CVE-2017-10401,21.489555,-12.043123,2
48,CVE-2017-1000471,8.620594,13.026353,0
49,CVE-2017-9901,-13.459552,3.3860798,1
50,CVE-2017-1000056,-8.901455,4.962681,1
51,CVE-2017-16924,18.857136,-10.566044,2
52,CVE-2017-0749,-17.04844,-0.5070272,1
53,CVE-2017-15826,20.954538,-11.187297,2
54,CVE-2017-0356,8.774483,13.303042,0
55,CVE-2017-5077,-16.442074,-0.81422776,1
56,CVE-2017-12719,21.455713,-11.849507,2
57,CVE-2017-15710,18.561651,-11.222876,2
58,CVE-2017-2437,-7.0423765,5.6130705,5
59,CVE-2017-17058,20.009842,-10.643744,2
60,CVE-2017-1000212,1.0650558,19.994577,0
61,CVE-2017-16581,-9.364013,5.3707733,1
62,CVE-2017-14170,-9.904252,-3.368003,1
63,CVE-2017-2400,17.32895,-11.78876,2
64,CVE-2017-16875,20.39914,-10.6215515,2
65,CVE-2017-12217,17.45003,-12.143592,2
66,CVE-2017-1000211,25.936844,-15.591056,2
67,CVE-2017-3570,-17.04425,-0.89229006,1
68,CVE-2017-15733,-5.698216,6.1793303,5
69,CVE-2017-8398,22.240572,-12.680035,2
70,CVE-2017-2317,4.367275,17.58064,0
71,CVE-2017-8101,-5.5839257,6.269473,5
72,CVE-2017-16551,6.582833,3.0831876,5
73,CVE-2017-6205,4.5742702,17.03503,0
74,CVE-2017-17657,9.216119,13.333803,0
75,CVE-2017-17328,5.5674577,5.332945,5
76,CVE-2017-10616,-10.120274,-3.1269038,1
77,CVE-2017-12718,-13.083067,3.5846853,1
78,CVE-2017-10031,-11.29808,-3.182493,1
79,CVE-2017-0773,5.1993275,3.932287,5
80,CVE-2017-0078,-1.6411511,6.484126,5
81,CVE-2017-5884,-8.295653,5.959816,1
82,CVE-2017-7325,26.325628,-16.117895,2
83,CVE-2017-5235,-16.013779,-0.40286374,1
84,CVE-2017-14090,-9.912942,-3.300314,1
85,CVE-2017-8904,-3.7754562,6.6920743,5
86,CVE-2017-9557,17.236238,-11.080196,2
87,CVE-2017-1329,-5.34435,-28.323677,3
88,CVE-2017-10394,4.8026204,3.2540753,5
89,CVE-2017-18192,17.420134,-10.7170315,2
90,CVE-2017-2435,-14.494198,2.9619389,1
91,CVE-2017-5801,17.059643,-11.008397,2
92,CVE-2017-8013,8.707743,14.054146,0
93,CVE-2017-6531,25.183775,-15.950724,2
94,CVE-2017-12904,10.500142,12.907698,0
95,CVE-2017-6050,9.218839,13.259828,0
96,CVE-2017-15729,-5.6982255,6.179302,5
97,CVE-2017-9982,17.864868,-11.782094,2
98,CVE-2017-0823,17.187265,-11.614202,2
99,CVE-2017-8141,10.30132,13.000719,0
100,CVE-2017-15743,-13.046626,3.3061616,1
101,CVE-2017-15379,5.206672,17.097519,0
102,CVE-2017-1000189,26.320452,-16.114313,2
103,CVE-2017-11003,21.738764,-11.949178,2
104,CVE-2017-10685,2.0517406,18.92184,0
105,CVE-2017-1000405,-12.959282,-1.6875386,1
106,CVE-2017-1000479,-4.4612174,6.251018,5
107,CVE-2017-1000163,-9.960508,-3.271681,1
108,CVE-2017-14000,-5.1204534,6.3173485,5
109,CVE-2017-11655,26.730137,-17.287998,2
110,CVE-2017-4943,0.04570643,6.7559476,5
111,CVE-2017-1000171,25.177435,-15.807059,2
112,CVE-2017-9328,10.475299,13.322357,0
113,CVE-2017-14467,-7.4386153,4.422152,1
114,CVE-2017-7010,-7.349146,5.4191766,1
115,CVE-2017-14141,-8.7609,5.761839,1
116,CVE-2017-3378,-11.509436,-2.9454072,1
117,CVE-2017-2311,18.202911,-11.278889,2
118,CVE-2017-11133,25.242289,-15.632189,2
119,CVE-2017-0246,-0.0898869,6.7350245,5
120,CVE-2017-14353,-8.745754,5.4770293,1
121,CVE-2017-4937,1.7395648,6.648892,5
122,CVE-2017-14316,-12.650608,-1.9067945,1
123,CVE-2017-8221,17.187265,-11.6142025,2
124,CVE-2017-12728,-3.8627152,6.6922307,5
125,CVE-2017-1000419,25.242289,-15.632189,2
126,CVE-2017-13165,21.752184,-12.006823,2
127,CVE-2017-9717,26.901766,-17.357046,2
128,CVE-2017-3014,9.3867655,14.511406,0
129,CVE-2017-0081,-1.6412681,6.484077,5
130,CVE-2017-1000002,8.739807,13.042175,0
131,CVE-2017-1442,-5.734627,5.2034225,5
132,CVE-2017-17935,23.061844,-13.553389,2
133,CVE-2017-9069,-8.598662,6.0024447,1
134,CVE-2017-6682,-16.255491,-0.86126864,1
135,CVE-2017-16074,17.420134,-10.7170315,2
136,CVE-2017-0663,-12.736817,3.3632312,1
137,CVE-2017-1000105,25.54446,-15.463765,2
138,CVE-2017-6747,7.667093,14.052563,0
139,CVE-2017-17114,-4.6856413,6.134296,5
140,CVE-2017-3418,-11.510185,-2.9475062,1
141,CVE-2017-1000247,26.151054,-16.458534,2
142,CVE-2017-16166,20.162992,-10.6872425,2
143,CVE-2017-9706,5.475523,2.9971123,5
144,CVE-2017-14341,-10.00881,-3.4601047,1
145,CVE-2017-7659,25.92762,-15.61106,2
146,CVE-2017-2513,4.7197328,17.157679,0
147,CVE-2017-10264,18.199163,-11.745865,2
148,CVE-2017-16921,10.475299,13.322357,0
149,CVE-2017-16554,6.57493,3.079598,5
150,CVE-2017-0223,0.11647214,20.32937,0
151,CVE-2017-2236,-5.0273395,6.2043996,5
152,CVE-2017-5410,0.66850907,20.122908,0
